label,content
违规操作,1997年12月29日，某国家粮食储备库作业班长私自带领10人移动输粮机，并爬到输粮机上充当配重，违章指挥致使输送机与6.6万伏高压线，造成4人当场触电身亡。
违规操作,1998年1月19日，某粮库工人队长(季节合同工)带领9名季节合同工苫粮囤帽时，违章推输粮机触高压线，造成3人身亡，1人击伤。
违规操作,1998年3月10日，某粮库8名现场作业工人移动输粮机，接触6.6万伏高压线，造成4人死亡，4人受伤。
监管不严,1998年5月，时任国务总理的朱镕基前往南陵县视察该县落实国家粮食收购政策的情况。公开报道显示，为了应对朱镕基的视察，当地政府从外地调运1031吨粮食到总理将要视察的南陵县峨岭粮站，连驾驶员在内前后二百余人通宵大干了四天，“人造”出粮食满仓的景象。据当时的媒体公开报道，倪发科时任芜湖市委副书记，事发的前一天，他还领着一大帮人赶去验收粮仓，准备应对朱镕基的视察。造假揭穿后，朱镕基大怒。据《朱镕基讲话实录》一书记载，1999年2月朱镕基谈信访工作时候的一段讲话为：“不久前我到安徽省南陵县去察看粮食仓库，在我没去之前粮库都是空的，后来他们把一些粮站的粮都搬过来，摆得整整齐齐。连我都敢骗，真是胆大包天！”同年9月，央视《焦点访谈》播出关于安徽南陵县鹅岭粮库调粮补仓欺骗朱总理的报道。经曝光后，该事件震惊全国。
意外,1998年6月8日，一系列爆炸发生在堪萨斯州威奇托市Gavilon粮库内（威奇托以南五英里处）。爆炸造成七人死亡，十名工人在爆炸中受伤。这家粮库当时是世界上最大的谷物仓储基地之一，仓储设施包含246座混凝土筒仓，每个仓直径9.1米，仓高度36.6米。每个仓可以容纳大约70000蒲式耳粮食，总容量近2100万蒲式耳。事故发生时，库存粮食约占总容量的50%。小麦是储藏在这家仓库中的主要产品，爆炸发生在初夏正是中西部的小麦收获的季节。工人们正在准备清理粮仓顶部的廊道以及筒仓下的输送通廊，以便为收获小麦做准备。整个设施也在进行例行维修，这包括润滑四条输送线的轴承。
监管不严,1999年4月27日20时40分许，某粮库因人为纵火，由于当时粮囤区域哨位值勤经警脱岗，未能及时发现报警，致使火势蔓延63个粮囤过火。
违规操作,1999年4月29日13时40分，某粮库因拖拉机牵引输送机抻断临时电源线，导致线路短路引燃地面易燃物发生重大火灾，共过火72个粮囤。
违规操作,1999年7月19日山东枣庄制油厂浸出车间浸出器胚料水份过高，造成浸出器下料搭桥，车间操作人员打开人孔进行清料疏通，而由于溶剂挥发太多蔓延到整个浸出车间外围。由于豆粕打包房车间的门口连着浸出车间，溶剂已蔓延到打包车间。而此时的豆粕打包车间人员正进行打包作业，作业人员的脚踏开关不是防爆开关，脚踏是产生明火，造成火灾瞬间蔓延到浸出车间直至浸出器，造成了浸出器爆炸。现场作业人员11人，造成5人死亡，6人受伤。
违规操作,2001年5月16日下午15: 00左右，辽宁富虹油品有限公司油罐发生爆炸，两名焊接工人当场死亡。辽宁富虹油品有限公司储油罐灌顶部人孔，币内炮接工人采用电整作业。遇接作业时没有采取保护和防护措施，由于罐内的毛油残溶过高，夏天氕漏较赢丈致毛迪海内的溶剂先体含量过高，溶剂气体遇到明火后油罐产生爆炸，现场两名工人当场死亡。损伤数百吨豆油。
监管不严,2001年9月22日23时10分，某国家粮食储备库因人为纵火，由于露天粮囤间距太近，防火通道、隔离带被挤占，导致火势迅速蔓延，致使有78个粮囤过火。
建筑安全,2002年12月17日，某粮库因清理上粮仓结顶玉米，违章指挥5人带一根钢钎一条绳子进入上粮仓内，其中2人站在工作口一侧，另三人站在粮面上用钢钎向下穿结顶粮层，由于结顶层突然坍塌被粮食淹埋，造成3人死亡。
违规操作,2003年1月25日，某粮库1名工人在没有任何防护措施的情况下，下到仓底处理出粮口流粮不畅问题，由于攉粮产生震动，挂壁粮食下落将其淹埋致死。
违规操作,2003年3月23日，某粮库1名工人在清理挂壁粮食时，未采取任何防范措施，被粮淹埋致死。
违规操作,2003年5月21日12时30分许，某粮库围墙外居民柴草垛起火，由于柴草垛距离粮囤近，火势迅速殃及粮囤，致使48个粮囤过火。
违规操作,2004 年4月钢板仓大豆保管员沈如剑，在上零点班时因酒后上岗，被地面的散豆滑倒，身体失去控制后卷入皮带称，被皮带称传感器插入胸部，当场死亡。
意外,2004年6月21日15时59分，某粮库正在拆囤，其拆下来的草席苫被运粮汽车碾压产生磨擦，引燃草苫起火，致使9个粮囤过火。
违规操作,2005年4月12日，某粮库搬运队班长擅自带领6名农工移动输粮机，路遇障碍颠簸使滑轮出槽，1人被落架砸死。
建筑安全,某企业原料仓为钢板仓，仓容3000吨，于2006年4月1日12时发生坍塌事故，导致10人死亡，3人受伤。
违规操作,2006年6月27日上午10点30分许，福建漳州金石制油有限公司浸出车间爆炸事件，造成9人死亡，轻伤2人。漳州市消防支队共同展开火灾原因调查为，工人更换刮板浸出器内突然爆炸。据福建省消防总队、漳州市消防支队的火调专业人员联合调查爆炸现场的消防人员介绍，爆炸发生时工厂在停产检修。由于浸出器内下料斗的一个刮板坏掉，从6月20日开始，浸出车间就停止生产，检修设备。当日上午，维修工杨志文和王振友(均为内蒙古籍)下到浸出器内更换刮板。这时在浸出器里面还存有20多吨的混合油，分别由大豆油、溶剂等组成。由于里面储存有易燃易爆的混合油，不能通电，两人也没有带照明设备，借着外面光线，他们顺利地更换其中3片有故障的刮板。大约在上午10时30分，当他们要更换第4片刮板时，爆炸突然发生，浸出器内的氢汽油和易燃易爆溶剂，猛烈燃烧，瞬间淹没了整个车间。
建筑安全,2006 年 9 月 21 日，湖南省永州市某县粮食局酒店正在拆改施工的两层楼房突然坍塌，造成 3 人死亡、1 人重伤、3 人轻伤，直接经济损失 92 万元。该酒店位于县粮食局院内，建于 1998 年 5 月，为两层砖混结构，房屋长 15.24m，宽 7.74m，每层均为 3 间，建筑面积约 230m2，所有墙体均为 240mm 砖墙，二层楼面及屋顶为预制空心板。该房屋未经有资质的单位设计，也没有办理报建和质量安全报监等相关手续。2006 年 9 月初，酒店实际负责人因经营需要，决定对酒店进行局部拆除改建、重新装修，并将拆改、装修工程包给无资质的私人劳务队。该劳务队队长按照要求，口头描述了自己的施工方案，并于2006 年 9 月 2 日开始施工。9 月 21 日下午，劳务队队长在现场指挥 4 名施工人员在 2 楼干活，2 名施工人员在 1 层干活。17 时左右，1 名施工人员在队长的安排下修凿砖柱(剩余墙体)时，突然发生坍塌，导致屋面梁和整个屋面板全部倒塌，施工人员被埋压。
意外,2006年10月25日凌晨，某企业组织人员实施小麦出库。出库小麦以土堤仓形式储存，工人实施出仓作业时，土堤仓内散堆的小麦突然坍塌，将5名工人掩埋，其中4人经抢救无效去世。
监管不严,2006年11月18日，广东省河源市粮食储备公司白岭头粮库存储的6罐磷化铝被盗。案件发生后，广东省政府高度重视，省委副书记、省长黄华华作了重要批示，河源市委市政府迅速组织案件侦破和其他善后工作，广东省发展和改革委员会当天派出工作组到河源调查了解情况。目前，案件仍在抓紧侦破中。河源市白岭头粮库储粮药剂被盗事件的发生，说明当前粮食行业安全生产工作还存在薄弱环节，各地粮食行政管理部门和粮食企业应从中吸取教训，认真做好安全生产工作。
违规操作,2007年1月29日，某粮库1名工人在未采取任何安全防护措施的情况下进入仓内结顶上方，用钢钎捅粮层。结顶层突然塌方，被粮食掩埋致死。
建筑安全,2007年2月25日，某企业组织人员进行钢板仓入仓作业，入仓过程中，钢板仓地板及出粮漏斗突然坠落，由于现场反应及时，指挥得当，工作人员成功，未造成人员伤亡。
违规操作,2007年4月27日16时30分，某企业正在进行浅圆仓出舱作业1名工作人员入仓处置板结大豆不慎坠入浅圆仓卸粮口并进入仓设备系统，发现该工人时已经死亡。
意外,2007年6月18日凌晨4时左右，位于山西省稷山县境内的引黄工程蓄水池发生溃堤事故，大水袭击了山西省稷山省粮食储备库（以下简称稷山库），造成3栋仓房进水，约500吨粮食被水浸泡。大水冲毁粮库围墙1000米、锅炉房1座、粮库大门1座，还导致库内供电中断、大部分机械设备被水浸泡，部分仓门受损。事故发生后，山西省粮食局按规定在第一时间向国家粮食局报告了事故情况，并与当地政府迅速组织救援，从全省范围内抽调设备、人员、车辆，紧急疏散受灾粮食，最大程度地减小了事故损失。
储粮不当,7 月 21 日下午，天津龙威粮油工业有限公司二期分提车间副主管张宏杰、王汝臣带领其他 5 名员工在车间开展检修作业。当天下午 18 时许，在检修 251B 吹扫罐的过程中，该罐内充满氮气，王汝臣（男，28 岁，黑龙江哈尔滨市人）在没有采取任何防护措施的情况下，冒然进入罐内，窒息晕倒，头部淹溺在罐底的棕榈油中，造成窒息淹溺死亡。随后，员工孙涛（男，22 岁，山东烟台市人）也在没有采取任何防护措施的情况下，进入罐内对王汝臣施救，窒息晕倒在罐中。事故发生后，在场的其他员工，一方面向该罐充压缩空气，进入罐中将王、孙二人救出，另一方面报 120 急救中心，迅速将二人送泰达心血管医院救治。王汝臣经抢救无效死亡，孙涛则处于昏迷中，经抢救已脱离生命危险。
监管不严,2007年8月31日，新良油脂简仓内大豆由于气温较高，在贮存过程中产生搭桥和结块，两名临时工人进入简仓内进行作业，进入仓中没系带安全带和安全绳等安全措施。当时仓中大豆结块，在作业过程中，搭桥、结块的大豆造成塌方，一人被大豆掩埋，另外一人上前施救，两名工人均被埋没。后经救援人员把出料斗割开，将大豆放出，救出时两人已窒息死亡。
设备及粮食质量,2008年2月24日15时，某企业准备开始烘干作业，当烘干塔装粮达到三分之二高度时，塔身第四节倒塌，坍塌塔体导致1名地面工作人员死亡。
监管不严,2008年2月26日15时，某企业组织人员、车辆向烘干塔运送玉米一辆运粮车倒车时将1名工人撞倒，导致该工人死亡。
违规操作,6月3日天阴有雨，东光县连镇中心粮库请来施工队为粮库外围墙粉刷涂料。由于脚手架搭台过高，接近从粮库外通过的高压电线，导致上到架顶施工的五名工人触电，其中三人抢救无效死亡，二人受伤，目前伤者还在医院救治。
意外,9日下午6点左右，该县秦村镇又发生一起油罐车爆炸事件，当场死亡一人，油罐车主受伤。
意外,2008年11月30日，荣县国家粮食储备有限公司32号闲置仓库突发火灾，由于发现早，扑救及时，该库储粮未受损失。事故发生后，荣县县政府成立了火灾事故调查组，经调查对事故发生作出初步结论：排除人为纵火和电线老化以及易燃易爆物品燃烧等原因。12月10日，荣县县政府对粮库火灾事故作出处理，对闲置空仓库负有安全监管责任的鼠储公司经理刘荣华和负有领导责任的县粮食局副局长范超给予停职处分，移送纪检监察、检察机关调查处理。
意外,2009年2月8日，吉林省松原市宁江区大洼粮库在搬倒粮食时，临时工人张某被小型运粮翻斗车刮倒，送往医院后因救治无效于当日死亡。同时，该省扶余县新站粮库保管员常某在现场监卸玉米时被一辆售粮车撞倒并碾压，送往医院后因救治无效于当日死亡。
意外,该省扶余县新站粮库保管员常某在现场监卸玉米时被一辆售粮车撞倒并碾压，送往医院后因救治无效于当日死亡。
违规操作,2009年2月22日凌晨1时至3时，绥化粮库安排进行烘干机烘前仓清理作业，2名工人进入仓内清理挂壁，作业过程中被掉落的粮块击中，掩埋窒息死亡。经有关部门初步认定，这是一起安全生产责任事故，导致事故发生的主要原因是企业安全生产制度落实不到位，工人违规作业。
意外,2009年3月12日，某粮库在粮囤苫帽作业时，被路过的小四轮拖拉机把三角支架拽倒，当场砸死1人。
违规操作,2009年3月22日，某企业实施熏蒸杀虫作业，导致周边2居民慢性中毒，3天后，其中一人死亡。
建筑安全,2008年11月，张成所在的太和县农产品购销公司筹建一座粮库，由张成出面与不具有建设资质条件的施工方苗某签订了建设粮库协议书，并按照张成与苗某共同自行设计的工程草图，由苗某组织施工。粮库建成前后均未经过相关部门审查批准和质检验收，后由张成所在公司将新建粮库租赁给该县另一粮食购销有限责任公司使用。 2009年7月17日，该粮库突然倒塌，致一人死亡，二人受伤。
建筑安全,2009年10月17日13时50分许，贵州省遵义市仁怀市粮油收储有限公司三合分公司在收储高梁过程中，一座建于1978年的仓库一侧山墙突然垮塌，并带动部分屋顶及二楼楼板垮塌，在二楼过磅间售粮的22名村民和1名收购工作人员中，有19名村民被滑到仓库一楼外的一条深约2米左右的沟内，并被垮塌下来的瓦砾及高粱掩埋，造成10人死亡，9人受伤。
设备及粮食质量,2009年11月30日上午十时，某企业组织粮食中转装车作业，在人工推行一节重车过程中由于刹车装置失灵，作业工人急于用手持铁鞋掩车，不慎登空跌至铁轨上，被火车碾压致死亡。
建筑安全,2009年12月9日13时40分，某仓库7名工人在实施出仓作业过程中，隔墙突然坍塌，4名工人被埋压于粮堆下1人当场死亡，3人送医院抢救无效死亡。
违规操作,事故地点为该公司4号车间包装工段，4号车间建造时间为2000年，建筑结构为排架结构，建筑面积为6182.4平方米，高19米，长87米，宽48.5米，主体1层，部分3层。3号车间和4号车间的淀粉乳在该车间干燥和包装，从该车间输出成品。?
设备及粮食质量,12日下午1时左右，河南省潢川县桃林镇一粮仓再建工地发生重大伤亡事故，3名高空作业民工因踏板C型钢突然断裂而坠地身亡。据了解，在建工程名为潢川县恒源工贸有限公司钢结构粮仓工程，施工单位为河南欧凯钢结构工程有限公司。3名死者都是临时上岗人员，高空作业前均没有经过相关培训，作业现场亦没有采取任何安全防护措施。记者昨晚在事发现场看到，该粮仓顶部高达12米，顶棚彩钢瓦已经铺设了大半。从高空坠落的C型钢长达7.5米，自3米处断裂，裂痕明显。死者的工友贾青国告诉记者，当时上边共有8人同时进行作业，作业时他们都没有系安全带，也没采取任何安全防护措施。
意外,2011年1月28日13时，某粮库1栋拟新建浅圆仓在实施仓顶浇筑时，施工用脚手架、钢筋及模板突然整体坍塌，导致2人死亡、6人受伤。
储粮不当,涌出的小麦把相邻的内蒙古巴彦淖尔钢源物资有限公司20多米长的围墙挤垮，院内存放的部分钢材和一只黑贝大狼狗被掩埋。
储粮不当, 2月7日9时30分许，临河国家粮食储备库院内又一座小麦粮仓有突然坍塌。涌出的小麦把相邻的内蒙古巴彦淖尔钢源物资有限公司20多米长的围墙挤垮，院内存放的部分钢材和一只黑贝大狼狗被掩埋。内蒙古巴彦淖尔钢源物资有限公司值班人员介绍，7日9时多，有客户前来查看围墙边存放的钢材，因看家护院的大狼狗狂吠不止，主人费了很大的劲才把狗圈进围墙边的狗窝里。主客一行人看完钢材刚回办公室，就听到轰隆一声巨响，从坍塌粮仓里涌出的小麦已经把钢材垛和狗窝掩埋。如果人员晚离开几分钟，后果不堪设想。
违规操作,3月8日上午10时16分，内蒙古兴安盟突泉县消防中队接到报警：突泉中央储备粮库的粮食井中，有5名工作人员被困，群众努力营救近半小时也没能救出被困人员，急需消防队协助救援。接到报警后，中队立即出动４辆车，13名指战员赶赴救援现场实施救援。到达粮库时，远远地便可看到粮库大院内的一个空旷场地上，有十余堆高约5米并且相连的玉米粒堆垛，有十几名工作人员围站在*中央处的几堆玉米堆垛上。现场，5名受困人员被陷入堆垛中央处，玉米粒已经没至腹部，并正处于下滑状态，如不及时救援，很可能被卷入储粮井中窒息死亡。指挥员了解情况后，立即下达救援命令：一组救援人员在粮食储备库负责人的带领下携带两条粗救援绳，6条安全绳从堆垛侧面顺下，并把安全绳末端打上几个死扣，方便被困人员抓牢，然后抛至到被困人员手中，同时协同周围工作人员一起慢慢向外拉；令一组人员用粮库防漏片插在被困人员身体周围，减缓玉米粒滑落。经过近20分钟的紧张救援，5名被困人被成功救出。
监管不严,2011年3月13日9时10分，吉林省辉南县抚民粮库在使用输送机将安全柱送上囤顶进行粮囤上苫作业时，因安全柱失控将囤顶的1名工人打落囤下，经抢救无效死亡。
建筑安全,3月22日14时30分，河北省邢台市柏乡县十里铺粮站一存放玉米的粮库墙壁坍塌，一人被埋压，邢台柏乡消防中队官兵和派出所民警、粮库工作人员经过5个小时的紧张营救，将被埋人救出。据了解，被埋者是一名男子，系该粮库工作人员。事发时他和一个工友正从粮库里向外运小麦。存放小麦的粮库与存放玉米的粮库仅有一墙之隔。存放玉米的粮库里堆满了玉米，而存放小麦的粮库仅剩下一小堆小麦。据目击者判断和猜测，可能由于玉米空间和小麦空间这个隔墙承受不住玉米的压力而倒向存放小麦的这一面。墙壁倒塌时被埋者的工友正好走出粮库，才逃过一劫，而他却没能幸免。事故发生后，粮库迅速组织人员施救并拨打电话报警。大量的玉米将遇难者整个埋了个严严实实，根据他被埋压之前所处的位置，消防官兵、派出所民警、粮库工作人员用铁锹挖玉米进行救援，由于救援空间狭小，又由于被埋者位置不清楚，怕造成二次伤害，没有动用机械设备。经过警民的不懈努力，晚上19点终于发现了被埋者，又过了半个小时将该男子救出，并交给120急救。据了解，由于被埋时间过长，该男子已经死亡。
违规操作,2011年4月2日11时，某粮库一台作业的输送机牵拉前臂的钢丝绳发生跳槽故障，跳槽的钢丝与绞盘摩擦并断裂，导致输送机前臂整体下落，将两名作业工人砸到，造成1死1伤。
违规操作,2011年6月13日下午13:30分某粮库在进行筒仓出仓作业过程中，立筒仓内粮堆突然坍塌，将仓内1名清仓工人埋压送医院救治无效死亡。
违规操作, 江苏中储粮收储经销有限公司金湖粮库，位于金湖县陈桥镇84号，系江苏中储粮收储经销有限公司下属分库（属中央企业）。经营范围：粮食收购和存储。发生事故的是金湖粮库1号仓房（2011年4月投入使用），存放玉米2930吨。对存放的玉米需使用磷化铝粉进行杀虫。磷化氢是磷化铝粉通过吸收水份产生的剧毒气体。
监管不严,2011年9月14日，某企业在集装箱入仓作业过程中发生事故，造成1人死亡。
违规操作,11月10日13时30分，方正县宝兴粮库在出粮作业过程中，农用三轮车驾驶员刘士光应临时工范永军要求，违规入仓通过原木顶压方法代替人工移动绞笼，由于原木突然滑离绞笼，当场将正在扶原木的临时工范永军夹在三轮车与绞笼之间造成重伤。14时20分，伤者经方正县医院抢救无效死亡。事故发生后，方正县宝兴粮库立即向县安监局、粮食局报告。县委、县政府及市安监局高度重视，责成由县安监局牵头，公安局、总工会、人力资源和社会保障局、监察局组成“11.10”车辆伤害事故调查组，处理善后事宜。经事故调查组核查，认定此起事故为安全生产责任事故。目前，事故已基本处理完毕，死者家属对处理结果表示满意，有关责任人员受到了相应处分，宝兴粮库停止一切经营活动进行全面整改，方正县粮食系统正在开展安全隐患治理。
监管不严,2011年11月16日某粮库进行入库稻谷清杂作业，在作业车辆倒车过程中碰倒输送机造成一人死亡。
意外,某企业浅圆仓在实施库存集并作业时发生爆炸，导致3人受伤，大量设备被毁，造成重大损失。
储粮不当,2012年8月6日辽宁葫芦岛市建昌县河东一家粮库遭遇疑似不明化学品泄漏事故，经公安、消防等多部门联合积极处置，事故没有造成人员伤亡。经过17个小时紧急处置，截至7日早7时许，葫芦岛市建昌县一家粮库渗水事故得到彻底安全处置。由于前几天的连续强降雨，事发6日傍晚，葫芦岛市建昌县一家粮库发生渗水事故，库内存放的106箱2244公斤防虫药品磷化铝，遇水发生化学反应，产生剧毒易燃易爆气体——磷化氢。事故发生后，葫芦岛消防支队支队长赵前程、政委辛广平带领建昌大队出动3台消防车、15名指战员赶赴现场进行侦查和紧急处置。现场立即成立了由葫芦岛市长都本伟任总指挥、相关部门领导和多名专家为成员的联合指挥部，研究定处置方案。依据专家会诊意见，指挥部决定：尽快抢救转移药品磷化铝，随后投放工业用碱和硫酸铜溶液对磷化氢气体进行无害化处理，并抽取库内大部分积水后，用混凝土对库内防虫药品进行固化。当晚，建昌县组织人员抢救出了磷化铝609公斤。为对事故进行有效处置，防止次生危害发生，依据专家会诊意见，处置人员继续投放工业用碱和混凝土进行固化。截至7日，固化工作已全部完成。事故得到科学安全稳妥处置，无人员中毒和伤亡。
意外,2013年1月新疆昌吉国家粮食储备库城镇粮库发生粮堆埋人致1人死亡事故。
监管不严,3月9日，黑龙江省大庆市新浪粮食储备库（以下简称“新浪库”）进行烘干作业，通过地下通廊向烘干塔输送露天存放的湿玉米，1名工人在作业过程中从露天玉米粮堆上落入地下通廊6号卸粮口上方的粮坑内，被玉米掩埋窒息死亡。
监管不严,3月10日，山东省德州天马粮油仓储有限公司（以下简称“天马库”）组织小麦出仓作业，1名工人在拆除5号平房仓挡粮板时落入挡粮板与粮堆之间的粮坑内，被小麦掩埋窒息死亡。
意外,3月15日，河南省平顶山湛南国家粮食储备有限公司（以下简称“湛南库”）组织小麦出仓作业，1名工人在拆除2号平房仓挡粮板时落入挡粮板与粮堆之间的粮坑内，救出后送往医院不治身亡。
意外,2013年5月31日下午，中储粮黑龙江林甸直属库发生大火，共有78个储粮囤表面过火，储量4.7万吨。其中玉米囤60个，储量3.4万吨；水稻囤18个，储量1.3万吨。目前火灾已经被扑灭，无人员伤亡。
意外,11月22日下午4点左右，国家粮食储备库平舆分库工作人员开仓清理粮仓，却发现了一具男尸。经警方初步调查，认定是一起意外事件，16岁的张某应该是两个多月前，从七八米高的观仓门处坠落进粮仓身亡的。
违规操作,12月30日13时30分，无锡锡惠粮油购销有限公司指派4名工人到该公司租用的无锡惠山区阳山粮库10号仓实施小麦出库作业，在出仓作业期间，1名工人进入仓内粮面拆卸挡粮板，不慎掉入粮坑被粮食掩埋致死。
违规操作,宏鼎粮食购销有限公司位于兰西县长江乡王油坊屯，现存储玉米约1万吨。2月13日10时30分，企业组织5名工人处理烘干机原料仓潮粮结顶时，玉米结顶层突然坍塌，4名工人被粮食掩埋，造成3死1伤。
建筑安全,吉林省金粮粮油有限公司夏家店分公司位于吉林省德惠市夏家店镇，该公司现有简易混凝土粮囤78个，总仓容3.2万吨。2月26日11时许，2名工人在维护简易混凝土粮囤环向钢带时，该囤2.5 m高度处突然发生坍塌，2名工人被囤内溢出的玉米掩埋致死。
意外,6月7日下午，另一位麦农姜某要到四河精米厂出售小麦，沐某要到该厂结账，二人同行。二人在这家米厂完成工作后，一起去上厕所，厕所位于 南侧的东西两间仓库之间，中间有一条夹道。二人上完厕所后，姜某从夹道离开，沐某因打电话滞后。姜某离开夹道约三四米时，西侧仓库墙壁突然倒塌。
意外,7月13日17时12分， 江西省吉安市青原区值夏镇提普岭一粮食仓库因雷击发生火灾。起火仓库是一栋砖木构成的长条形老房子，面积约600平方米，里面存有近200吨稻谷。起火时，仓库大门被木板封死，导致近150吨粮食过火。经过消防官兵近4个小时扑救，大火被扑灭。
建筑安全,5日7时40分，庆安县致富乡海源粮食经销有限公司3名工人在维修皮带输送机过程中，一粮仓发生倒塌，随后1名工人跑出，另外2名工人被埋。事发后，当地安监、消防、公安等部门立即展开救援，截至13时30分许，被埋2名工人相继被救出，经证实已经死亡。目前，当地政府已经成立事故调查组，该公司企业法人已经被警方控制，发生事故的原因正在调查中。
